PID,CPU%,RSS,VSS,Native,Dalvik,PSS,TIME
8429,65%,162344,2046856,37546,14043,125088,2019-01-10 17:30:32
8429,48%,228408,2149212,45933,14167,189490,2019-01-10 17:30:34
8429,37%,270636,2199604,53876,14089,221928,2019-01-10 17:30:39
8429,28%,309928,2191756,51862,17553,168829,2019-01-10 17:30:42
8429,33%,313968,2211940,50449,20214,181677,2019-01-10 17:30:45
8429,62%,302580,2218236,53413,24879,243214,2019-01-10 17:30:48
8429,53%,321776,2225300,53242,22131,159632,2019-01-10 17:30:50
8429,64%,325080,2232488,53714,20436,259440,2019-01-10 17:30:52
8429,82%,325900,2254100,56938,20861,254390,2019-01-10 17:31:04
8429,61%,334848,2273496,57819,30151,267983,2019-01-10 17:31:06
8429,49%,340776,2275268,57778,30374,274467,2019-01-10 17:31:08
8429,39%,335452,2273600,57647,22454,269157,2019-01-10 17:31:10
8429,46%,334588,2270484,56836,22146,270378,2019-01-10 17:31:12
8429,17%,332364,2266764,56553,22116,266792,2019-01-10 17:31:14
8429,16%,320596,2266764,56525,22139,255064,2019-01-10 17:31:16
8429,18%,320420,2263612,55730,22190,257152,2019-01-10 17:31:18
8429,2%,324924,2263624,55607,21910,259386,2019-01-10 17:31:20
8429,16%,319724,2263568,55646,21946,254349,2019-01-10 17:31:22
8429,17%,329076,2267068,55752,22074,263423,2019-01-10 17:31:24
8429,15%,326460,2263304,55532,22076,260543,2019-01-10 17:31:26
8429,9%,320288,2262568,55644,22113,254739,2019-01-10 17:31:28
8429,18%,328412,2261916,53534,22125,262177,2019-01-10 17:31:30
8429,19%,327092,2253708,52829,22155,260273,2019-01-10 17:31:32
8429,15%,320928,2250844,52307,24905,253783,2019-01-10 17:31:34
8429,0%,329988,2252208,52199,22050,262753,2019-01-10 17:31:36
8429,15%,326424,2248612,52082,22035,259269,2019-01-10 17:31:38
8429,30%,322512,2249812,53285,22109,260141,2019-01-10 17:31:40
8429,17%,328512,2258548,53109,22075,261135,2019-01-10 17:31:42
8429,16%,328368,2257508,52323,22062,261187,2019-01-10 17:31:44
8429,46%,325688,2258076,51924,21909,262141,2019-01-10 17:31:46
8429,24%,328452,2255408,52291,22104,261749,2019-01-10 17:31:48
8429,26%,328984,2257596,52344,21950,261805,2019-01-10 17:31:50
8429,16%,331676,2259988,52060,21940,263469,2019-01-10 17:31:51
8429,17%,329968,2258348,52016,21961,261853,2019-01-10 17:32:02
8429,16%,326448,2253028,51737,21973,258041,2019-01-10 17:32:04
